,Unnamed: 0,Latittude,Longitude,pressure,wind_speed,humidity,temperature,mss
214,214,30.706074,225.33835,101830.86,5.037538,0.010353634,293.3457,0.011981438
215,215,-34.364166,3.1359959,101350.86,9.318526,0.009102413,287.31445,0.024306683
216,216,-28.760574,44.363598,101510.86,8.04464,0.010002682,294.39258,0.019646049
217,217,37.472855,219.88358,101366.86,3.5558052,0.010376522,289.9707,0.007760314
218,218,32.733067,215.47202,101550.86,2.4848168,0.010922024,291.9082,0.00534564
219,219,21.896978,266.23337,101686.86,2.552273,0.019196102,303.20508,0.00510999
220,220,-35.95829,42.717457,101286.86,3.2863421,0.008652279,292.81445,0.009019427
221,221,37.46979,219.9089,101366.86,3.5600903,0.010376522,289.9707,0.007550868
222,222,11.037323,133.14128,101270.86,10.284077,0.019447872,303.00195,0.024850082
224,224,15.470416,131.06793,101366.86,4.40157,0.019562313,303.1582,0.012161497
225,225,14.285292,292.4096,101398.86,3.7179508,0.01985223,301.92383,0.008843731
226,226,23.072205,271.82745,101678.86,1.3180188,0.019249508,303.17383,0.002061117
227,227,11.043459,263.96735,101094.86,3.7064855,0.019264767,303.14258,0.008046342
228,228,-34.375652,3.2001908,101350.86,8.709496,0.009102413,287.31445,0.024349857
229,229,-28.753628,44.42435,101510.86,6.6451254,0.010002682,294.39258,0.017259954
230,230,30.691784,225.39922,101830.86,5.109349,0.010353634,293.3457,0.012188364
231,231,-27.19087,40.68283,101278.86,6.0541606,0.012489865,294.48633,0.01593137
232,232,34.987877,230.1558,101550.86,8.749252,0.010922024,291.9082,0.020078545
233,233,32.727596,215.53241,101550.86,2.5543752,0.010922024,291.9082,0.00563424
234,234,21.868948,266.28348,101686.86,2.3444042,0.019196102,303.20508,0.004531362
235,235,37.462635,219.968,101366.86,3.503957,0.010376522,289.9707,0.007241026
236,236,-35.951416,42.78403,101286.86,3.0450034,0.008652279,292.81445,0.008120421
237,237,15.501675,131.11461,101366.86,3.899119,0.019562313,303.1582,0.010632109
238,238,11.069418,133.18677,101270.86,10.199976,0.019447872,303.00195,0.024158865
239,239,30.677454,225.46005,101830.86,5.348017,0.010353634,293.3457,0.012826891
240,240,34.97192,230.21983,101550.86,8.914246,0.010922024,291.9082,0.020452717
241,241,23.041552,271.87576,101678.86,1.410751,0.019249508,303.17383,0.002195166
242,242,11.01759,264.01562,101094.86,3.581216,0.019264767,303.14258,0.007570526
243,243,14.254032,292.45535,101398.86,3.5879815,0.01985223,301.92383,0.008681663
244,244,-28.746605,44.4851,101510.86,8.098216,0.010002682,294.39258,0.020476082
246,246,-27.185513,40.74314,101278.86,5.8664985,0.012489865,294.48633,0.015774567
247,247,4.1421723,122.64499,101190.86,8.013363,0.018013546,302.64258,0.013572336
248,248,21.844414,266.3273,101686.86,2.3525794,0.019196102,303.20508,0.00410864
249,249,32.721317,215.60085,101550.86,2.2393107,0.010922024,291.9082,0.004672051
250,250,37.454426,220.03557,101366.86,3.5316505,0.010376522,289.9707,0.007473404
251,251,-35.944504,42.850586,101286.86,2.83872,0.008652279,292.81445,0.007434241
252,252,23.018545,271.912,101678.86,1.4429777,0.019249508,303.17383,0.002286462
253,253,4.1591005,122.66628,101190.86,5.5108232,0.018013546,302.64258,0.013477929
254,254,11.101494,133.23228,101270.86,9.954397,0.019447872,303.00195,0.024070408
255,255,15.532926,131.16132,101366.86,3.717563,0.019562313,303.1582,0.010020142
257,257,-28.73959,44.545845,101510.86,7.282061,0.010002682,294.39258,0.018346682
258,258,34.95592,230.28384,101550.86,9.084488,0.010922024,291.9082,0.020969832
259,259,-27.180162,40.803463,101278.86,5.758896,0.012489865,294.48633,0.014614582
260,260,10.9917145,264.06387,101094.86,3.5423114,0.019264767,303.14258,0.007412204
261,261,30.66308,225.52086,101830.86,5.457195,0.010353634,293.3457,0.013047116
263,263,14.222791,292.50113,101398.86,3.533728,0.01985223,301.92383,0.008129193
264,264,11.117528,133.25504,101270.86,9.8905945,0.019447872,303.00195,0.023937369
266,266,15.548549,131.18468,101366.86,3.6277595,0.019562313,303.1582,0.009772307
267,267,-35.937553,42.91712,101286.86,2.6446486,0.008652279,292.81445,0.006817526
268,268,34.93989,230.34784,101550.86,8.849559,0.010922024,291.9082,0.020380547
269,269,32.712044,215.70146,101550.86,1.747491,0.010922024,291.9082,0.003177802
270,270,14.19151,292.54688,101398.86,3.5522263,0.01985223,301.92383,0.00786648
271,271,30.648663,225.58163,101830.86,5.487023,0.010353634,293.3457,0.01288075
272,272,-27.174747,40.863766,101278.86,6.2765975,0.012489865,294.48633,0.016496263
273,273,-28.732508,44.60658,101510.86,8.060166,0.010002682,294.39258,0.018985314
274,274,10.965847,264.11212,101094.86,3.3320417,0.019264767,303.14258,0.00682142
275,275,37.43996,220.15372,101366.86,3.1380982,0.010376522,289.9707,0.005967876
276,276,21.791792,266.42117,101686.86,2.3888967,0.019196102,303.20508,0.004758979
277,277,32.70942,215.72963,101550.86,1.5478746,0.010922024,291.9082,0.002594616
278,278,37.43788,220.1706,101366.86,3.1972978,0.010376522,289.9707,0.006378395
279,279,-35.930565,42.98364,101286.86,2.493638,0.008652279,292.81445,0.006339113
280,280,21.781263,266.43994,101686.86,2.4391315,0.019196102,303.20508,0.004925683
281,281,34.923836,230.4118,101550.86,8.714522,0.010922024,291.9082,0.020315623
282,282,30.634212,225.64241,101830.86,5.3134546,0.010353634,293.3457,0.01230692
283,283,22.949646,272.0206,101678.86,1.6793509,0.019249508,303.17383,0.002732554
284,284,14.160245,292.5926,101398.86,3.7173321,0.01985223,301.92383,0.008987935
285,285,-27.169321,40.924057,101278.86,6.321979,0.012489865,294.48633,0.017604278
286,286,10.939932,264.16034,101094.86,3.1172392,0.019264767,303.14258,0.006090064
287,287,4.2352657,122.76217,101190.86,4.5541496,0.018013546,302.64258,0.010936524
288,288,-34.42183,3.4603531,101350.86,8.757054,0.009102413,287.31445,0.024377167
289,289,-28.72362,44.682476,101510.86,7.4426503,0.010002682,294.39258,0.01828081
290,290,32.703804,215.78998,101550.86,1.2757549,0.010922024,291.9082,0.001922202
291,291,21.756695,266.48373,101662.86,2.5740232,0.019394467,303.20508,0.005391976
292,292,-35.92354,43.050148,101286.86,2.3696413,0.008652279,292.81445,0.005930307
293,293,10.913975,264.20856,101102.86,2.9177694,0.01934106,303.29883,0.005412584
294,294,22.918928,272.06888,101678.86,1.6841681,0.019249508,303.17383,0.002734101
295,295,30.61973,225.70316,101830.86,5.574899,0.010353634,293.3457,0.012752693
296,296,37.425377,220.27182,101366.86,3.6496594,0.010376522,289.9707,0.007647679
297,297,34.907745,230.47577,101550.86,8.635976,0.010922024,291.9082,0.020164471
298,298,-27.163784,40.98433,101278.86,6.418395,0.012489865,294.48633,0.01774018
299,299,14.128984,292.6383,101398.86,3.9050791,0.01985223,301.92383,0.009712394
300,300,-28.718214,44.72802,101510.86,9.252649,0.010002682,294.39258,0.023064723
301,301,-34.433548,3.5267775,101350.86,8.750467,0.009102413,287.31445,0.024017796
302,302,4.2775645,122.81547,101190.86,6.027219,0.018013546,302.64258,0.01303393
303,303,21.728611,266.53372,101662.86,2.6392632,0.019394467,303.20508,0.005677322
304,304,37.421177,220.30556,101366.86,3.5114822,0.010376522,289.9707,0.007358883
305,305,-35.916477,43.116646,101286.86,2.2520225,0.008652279,292.81445,0.005518576
306,306,4.286023,122.826126,101190.86,5.849208,0.018013546,302.64258,0.014959458
307,307,10.888016,264.25677,101102.86,2.6630194,0.01934106,303.29883,0.004676536
308,308,22.888206,272.1171,101678.86,1.5733675,0.019249508,303.17383,0.002476399
309,309,-28.71101,44.788746,101510.86,8.881731,0.010002682,294.39258,0.023568952
310,310,14.097721,292.68402,101398.86,3.9248886,0.01985223,301.92383,0.009368736
311,311,32.693916,215.89456,101550.86,1.0705062,0.010922024,291.9082,0.001510379
312,312,-27.158216,41.04455,101278.86,6.2385917,0.012489865,294.48633,0.016529582
313,313,34.891624,230.5397,101550.86,8.758301,0.010922024,291.9082,0.020510828
314,314,30.605217,225.76387,101830.86,5.8440995,0.010353634,293.3457,0.013896075
315,315,-34.44443,3.588939,101350.86,8.478803,0.009102413,287.31445,0.023865487
316,316,21.700518,266.5837,101662.86,2.6796713,0.019394467,303.20508,0.005794756
317,317,-35.909374,43.18314,101286.86,2.2037272,0.008652279,292.81445,0.005251231
